road	R310
km	1.7
type	Slab Culvert
lrpName	LRP001a
name	LOKHIPUR POLICE LINE CULVERT
length	2.77
condition	B
structureNr	107740
est cost	0.95
roadName	Joydebpur-Gazipur-Azmatpur-Itakhola Road
chainage	1.7
width	8.2
constructionYear	1964
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Joydepur-1
lat	23.99202777777778
lon	90.39597222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107740&vRoadID=107&vSurveyYear=2004&vSubdivID=513
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107740&vRoadID=107&vSurveyYear=2004&vSubdivID=513
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107740&vRoadID=107&vSurveyYear=2004&vSubdivID=513
