road	N507
km	42.758
type	Box Culvert
lrpName	LRP043d
name	.
length	1.44
condition	A
structureNr	101897
est cost	0
roadName	Hatikamrul-Banpara Road
chainage	42.758
width	21.83
constructionYear	1999
spans	1
zone	Rajshahi
circle	Pabna
division	Natore
sub-division	Natore-1
lat	24.31833333333333
lon	89.15361111111112
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101897&vRoadID=35&vSurveyYear=2004&vSubdivID=315
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101897&vRoadID=35&vSurveyYear=2004&vSubdivID=315
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101897&vRoadID=35&vSurveyYear=2004&vSubdivID=315
