road	N507
km	18.874
type	PC Girder Bridge
lrpName	LRP019c
name	6 No.Bridge
length	60.06
condition	B
structureNr	120108
est cost	1.656
roadName	Hatikamrul-Banpara Road
chainage	18.874
width	
constructionYear	
spans	
zone	Rajshahi
circle	Pabna
division	Sirajganj
sub-division	Sirajgonj-1
lat	24.3699993 
lon	89.3743882 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120108&vRoadID=35&vSurveyYear=2013&vSubdivID=312
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120108&vRoadID=35&vSurveyYear=2013&vSubdivID=312
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120108&vRoadID=35&vSurveyYear=2013&vSubdivID=312
