road	R881
km	14.232
type	Box Culvert
lrpName	LRP014a
name	Sluice gate
length	3.13
condition	C
structureNr	105556
est cost	0.25
roadName	Amtali-Khepupara-Kuakata Road
chainage	14.232
width	3.75
constructionYear	1988
spans	1
zone	Barisal
circle	Patuakhali
division	Patuakhali
sub-division	Patuakhali
lat	22.0125
lon	90.2363888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105556&vRoadID=175&vSurveyYear=2004&vSubdivID=862
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105556&vRoadID=175&vSurveyYear=2004&vSubdivID=862
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105556&vRoadID=175&vSurveyYear=2004&vSubdivID=862
