road	R881
km	25.911
type	Box Culvert
lrpName	LRP025a
name	.
length	1.84
condition	C
structureNr	105604
est cost	1.2
roadName	Amtali-Khepupara-Kuakata Road
chainage	25.911
width	7.73
constructionYear	1981
spans	1
zone	Barisal
circle	Patuakhali
division	Patuakhali
sub-division	Patuakhali
lat	21.934444444444445
lon	90.16527777777779
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105604&vRoadID=175&vSurveyYear=2004&vSubdivID=862
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105604&vRoadID=175&vSurveyYear=2004&vSubdivID=862
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105604&vRoadID=175&vSurveyYear=2004&vSubdivID=862
