road	N208
km	47.38
type	RCC Girder Bridge
lrpName	LRP048a
name	Mogla Bazar Bridge
length	20.8
condition	A
structureNr	120678
est cost	0
roadName	Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road
chainage	47.38
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Biswanath
lat	24.8001608595
lon	91.91226345
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120678&vRoadID=16&vSurveyYear=2013&vSubdivID=558
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120678&vRoadID=16&vSurveyYear=2013&vSubdivID=558
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120678&vRoadID=16&vSurveyYear=2013&vSubdivID=558
