road	N208
km	31.804
type	RCC Girder Bridge
lrpName	LRP032c
name	Palbari Bridge
length	25.8
condition	A
structureNr	120668
est cost	0.01
roadName	Moulvibazar-Rajnagar-Fenchuganj-Sylhet Road
chainage	31.804
width	
constructionYear	
spans	
zone	Sylhet
circle	Sylhet
division	Sylhet
sub-division	Biswanath
lat	24.6668604 
lon	91.9267771 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120668&vRoadID=16&vSurveyYear=2013&vSubdivID=558
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120668&vRoadID=16&vSurveyYear=2013&vSubdivID=558
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120668&vRoadID=16&vSurveyYear=2013&vSubdivID=558
