road	Z7609
km	0.52
type	Slab Culvert
lrpName	LRPSc
name	.
length	3.4
condition	A
structureNr	116547
est cost	0
roadName	Banshipur-Munshiganj road
chainage	0.52
width	9.7
constructionYear	2004
spans	1
zone	Khulna
circle	Khulna
division	Satkhira
sub-division	Satkhira-2
lat	22.303055555555556
lon	89.11055555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=116547&vRoadID=702&vSurveyYear=2006&vSubdivID=322
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=116547&vRoadID=702&vSurveyYear=2006&vSubdivID=322
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=116547&vRoadID=702&vSurveyYear=2006&vSubdivID=322
