road	R313
km	18.475
type	RCC Girder Bridge
lrpName	LRP019b
name	MASRANGA BRIDGE
length	5.5
condition	A
structureNr	109486
est cost	0
roadName	Mawna-Sripur-Gusinga-Kapasia-Aral-Sammania-Hitirdia-Monohardi (Hetemdi) Road
chainage	18.475
width	3.8
constructionYear	1995
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Joydepur-1
lat	24.135805555555557
lon	90.54975
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109486&vRoadID=110&vSurveyYear=2004&vSubdivID=513
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109486&vRoadID=110&vSurveyYear=2004&vSubdivID=513
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109486&vRoadID=110&vSurveyYear=2004&vSubdivID=513
