road	R171
km	0.975
type	Baily with Steel Deck
lrpName	LRPSb
name	CHUNTI BAZAR
length	14
condition	A
structureNr	105125
est cost	0
roadName	Banshkhali (Charati)-Chunti Road
chainage	0.975
width	3.45
constructionYear	1984
spans	1
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Dohazari
lat	22.003083333333333
lon	91.95816666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=105125&vRoadID=87&vSurveyYear=2004&vSubdivID=280
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=105125&vRoadID=87&vSurveyYear=2004&vSubdivID=280
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=105125&vRoadID=87&vSurveyYear=2004&vSubdivID=280
