road	R171
km	0.975
type	Baily with Steel Deck
lrpName	LRPSb
name	Rohollar Hat Bridge
length	12.15
condition	B
structureNr	121175
est cost	0.133
roadName	Banshkhali (Charati)-Chunti Road
chainage	0.975
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Dohazari
sub-division	Dohazari
lat	22.0031944 
lon	91.9599722 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121175&vRoadID=898&vSurveyYear=2013&vSubdivID=280
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121175&vRoadID=898&vSurveyYear=2013&vSubdivID=280
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121175&vRoadID=898&vSurveyYear=2013&vSubdivID=280
