road	R557
km	0.316
type	Box Culvert
lrpName	LRPSc
name	.
length	1.38
condition	A
structureNr	109506
est cost	0
roadName	Madhypara-Badarganj Road
chainage	0.316
width	9.55
constructionYear	2002
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-2
lat	25.56222222222222
lon	89.05666666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109506&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109506&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109506&vRoadID=132&vSurveyYear=2004&vSubdivID=288
