road	R557
km	0.004
type	Box Culvert
lrpName	LRPSa
name	.
length	1.37
condition	A
structureNr	109500
est cost	0
roadName	Madhypara-Badarganj Road
chainage	0.004
width	11.65
constructionYear	2001
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-2
lat	25.559583333333332
lon	89.05702777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109500&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109500&vRoadID=132&vSurveyYear=2004&vSubdivID=288
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109500&vRoadID=132&vSurveyYear=2004&vSubdivID=288
