road	R240
km	39.955
type	Box Culvert
lrpName	LRP039d
name	NOBIGONG BAZAR CULVERT
length	6.4
condition	B
structureNr	102232
est cost	0.4
roadName	Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road
chainage	39.955
width	7.8
constructionYear	1988
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Habigonj
lat	24.56411111111111
lon	91.51547222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102232&vRoadID=97&vSurveyYear=2004&vSubdivID=551
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102232&vRoadID=97&vSurveyYear=2004&vSubdivID=551
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102232&vRoadID=97&vSurveyYear=2004&vSubdivID=551
