road	R240
km	47.812
type	Box Culvert
lrpName	LRP047e
name	KHURSI BOX CULVERT
length	12.23
condition	B
structureNr	102244
est cost	0.8
roadName	Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road
chainage	47.812
width	9.75
constructionYear	1998
spans	2
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Habigonj
lat	24.59061111111111
lon	91.58433333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102244&vRoadID=97&vSurveyYear=2004&vSubdivID=551
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102244&vRoadID=97&vSurveyYear=2004&vSubdivID=551
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102244&vRoadID=97&vSurveyYear=2004&vSubdivID=551
