road	Z5073
km	0.708
type	RCC Girder Bridge
lrpName	LRPsa
name	.
length	15.82
condition	D
structureNr	113529
est cost	47.5
roadName	Prothomachew-Pirgachha-Matidali Road
chainage	0.708
width	4
constructionYear	1970
spans	2
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Bogra
lat	24.90511111111111
lon	89.45766666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113529&vRoadID=640&vSurveyYear=2004&vSubdivID=291
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113529&vRoadID=640&vSurveyYear=2004&vSubdivID=291
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113529&vRoadID=640&vSurveyYear=2004&vSubdivID=291
