road	Z8401
km	0.829
type	RCC Girder Bridge
lrpName	LRPSc
name	.
length	6
condition	D
structureNr	112184
est cost	19
roadName	Bhanga (Pukuria)-Sadarpur Road
chainage	0.829
width	3.6
constructionYear	1980
spans	1
zone	Gopalganj
circle	Faridpur
division	Faridpur
sub-division	Faridpur-2
lat	23.439722222222223
lon	89.96055555555556
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112184&vRoadID=426&vSurveyYear=2004&vSubdivID=341
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112184&vRoadID=426&vSurveyYear=2004&vSubdivID=341
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112184&vRoadID=426&vSurveyYear=2004&vSubdivID=341
