road	R301
km	29.779
type	Box Culvert
lrpName	LRP029d
name	ATPARA BOX CULVERT
length	3
condition	A
structureNr	113612
est cost	0
roadName	Tongi-Kaliganj-Gorashal-Pachdona Road
chainage	29.779
width	12.2
constructionYear	2002
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Narsingdi
lat	23.915916666666664
lon	90.65663888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=113612&vRoadID=104&vSurveyYear=2004&vSubdivID=522
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=113612&vRoadID=104&vSurveyYear=2004&vSubdivID=522
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=113612&vRoadID=104&vSurveyYear=2004&vSubdivID=522
