road	Z1610
km	15.72
type	Box Culvert
lrpName	LRP016b
name	KARBARIPARA
length	3.2
condition	A
structureNr	101675
est cost	0
roadName	Dighinala-Babuchhara-Logung-Panchhari Road
chainage	15.72
width	6.15
constructionYear	1996
spans	1
zone	Chittagong
circle	Khagrachari
division	Khagrachari
sub-division	Khagrachari-1
lat	23.363944444444446
lon	92.0196111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101675&vRoadID=367&vSurveyYear=2004&vSubdivID=564
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101675&vRoadID=367&vSurveyYear=2004&vSubdivID=564
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101675&vRoadID=367&vSurveyYear=2004&vSubdivID=564
