road	R110
km	4.327
type	Slab Culvert
lrpName	LRP003f
name	BASHERPUR
length	4.2
condition	C
structureNr	104925
est cost	0.36
roadName	Jatrabari-Demra-Shimrail-Narayanganj (Chasara) Road
chainage	4.327
width	8.55
constructionYear	1968
spans	1
zone	Dhaka
circle	Dhaka
division	Dhaka
sub-division	Dhaka, Sub-division - 2
lat	23.717666666666666
lon	90.47544444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104925&vRoadID=67&vSurveyYear=2004&vSubdivID=512
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104925&vRoadID=67&vSurveyYear=2004&vSubdivID=512
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104925&vRoadID=67&vSurveyYear=2004&vSubdivID=512
