road	Z2041
km	2.963
type	Box Culvert
lrpName	LRP002i
name	BOX CULVERT
length	3
condition	A
structureNr	114705
est cost	0
roadName	Narsingdi (Jongi Shibpur)-Raipura Road
chainage	2.963
width	4
constructionYear	1997
spans	1
zone	Dhaka
circle	Dhaka
division	Narsingdi
sub-division	Shibpur
lat	24.02586111111111
lon	90.86702777777776
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114705&vRoadID=206&vSurveyYear=2004&vSubdivID=523
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114705&vRoadID=206&vSurveyYear=2004&vSubdivID=523
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114705&vRoadID=206&vSurveyYear=2004&vSubdivID=523
