road	Z8047
km	7.196
type	Slab Culvert
lrpName	LRP007b
name	.
length	4.4
condition	C
structureNr	112264
est cost	1.63
roadName	Bakerkati-Nalchity Road
chainage	7.196
width	4.85
constructionYear	1986
spans	1
zone	Barisal
circle	Barisal
division	Jhalokati
sub-division	Jhalokati
lat	22.594166666666666
lon	90.31944444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=112264&vRoadID=786&vSurveyYear=2004&vSubdivID=584
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=112264&vRoadID=786&vSurveyYear=2004&vSubdivID=584
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=112264&vRoadID=786&vSurveyYear=2004&vSubdivID=584
