road	R812
km	11.264
type	RCC Girder Bridge
lrpName	LRP010f
name	BANIA BARI
length	15.2
condition	C
structureNr	104952
est cost	0.9
roadName	Fatullah (Panchaboti)-Munshiganj (Muktarpur)-Lohajang-Mawa Road
chainage	11.264
width	3.8
constructionYear	1979
spans	2
zone	Dhaka
circle	Dhaka
division	Munshiganj
sub-division	Munshiganj
lat	23.553444444444445
lon	90.50366666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104952&vRoadID=167&vSurveyYear=2004&vSubdivID=518
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104952&vRoadID=167&vSurveyYear=2004&vSubdivID=518
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104952&vRoadID=167&vSurveyYear=2004&vSubdivID=518
