road	N704
km	67.519
type	PC Girder Bridge
lrpName	LRP068e
name	.
length	65.56
condition	A
structureNr	106764
est cost	0
roadName	Jhenaidah-Kushtia-Paksey Ferry-Dasuria Road
chainage	67.519
width	11.5
constructionYear	2004
spans	3
zone	Khulna
circle	Jessore
division	Kushtia
sub-division	Kushtia
lat	24.038611111111113
lon	89.01305555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106764&vRoadID=53&vSurveyYear=2004&vSubdivID=327
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106764&vRoadID=53&vSurveyYear=2004&vSubdivID=327
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106764&vRoadID=53&vSurveyYear=2004&vSubdivID=327
