road	R685
km	18.072
type	Slab Culvert
lrpName	LRP019a
name	.
length	4.22
condition	A
structureNr	100763
est cost	0
roadName	Rajshahi (Bindur More)-Nawhata-Chowmasia Road
chainage	18.072
width	9.55
constructionYear	1989
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-1
lat	24.520833333333332
lon	88.63944444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100763&vRoadID=144&vSurveyYear=2004&vSubdivID=302
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100763&vRoadID=144&vSurveyYear=2004&vSubdivID=302
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100763&vRoadID=144&vSurveyYear=2004&vSubdivID=302
