road	R685
km	34.713
type	Box Culvert
lrpName	LRP035d
name	.
length	13.32
condition	A
structureNr	100980
est cost	0
roadName	Rajshahi (Bindur More)-Nawhata-Chowmasia Road
chainage	34.713
width	9.72
constructionYear	1996
spans	2
zone	Rajshahi
circle	Rajshahi
division	Naogaon
sub-division	Naogaon
lat	24.66361111111111
lon	88.6675
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100980&vRoadID=144&vSurveyYear=2004&vSubdivID=305
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100980&vRoadID=144&vSurveyYear=2004&vSubdivID=305
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100980&vRoadID=144&vSurveyYear=2004&vSubdivID=305
