road	R685
km	14.669
type	Slab Culvert
lrpName	LRP015b
name	.
length	2.88
condition	A
structureNr	100755
est cost	0
roadName	Rajshahi (Bindur More)-Nawhata-Chowmasia Road
chainage	14.669
width	9.55
constructionYear	1994
spans	1
zone	Rajshahi
circle	Rajshahi
division	Rajshahi
sub-division	Rajshahi-1
lat	24.5025
lon	88.61472222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100755&vRoadID=144&vSurveyYear=2004&vSubdivID=302
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100755&vRoadID=144&vSurveyYear=2004&vSubdivID=302
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100755&vRoadID=144&vSurveyYear=2004&vSubdivID=302
