road	N108
km	0.882
type	RCC Girder Bridge
lrpName	LRPSa
name	South Kachia-1 Bridge
length	8.02
condition	D
structureNr	121478
est cost	0.274
roadName	Keranirhat-Bandarban Road
chainage	0.882
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.10375 
lon	92.082416 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121478&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121478&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121478&vRoadID=8&vSurveyYear=2013&vSubdivID=286
