road	N108
km	20.717
type	RCC Girder Bridge
lrpName	LRP020e
name	AMTOLI PARA BRIDGE
length	9
condition	A
structureNr	101769
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	20.717
width	7.6
constructionYear	1986
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.185055555555557
lon	92.21033333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101769&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101769&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101769&vRoadID=8&vSurveyYear=2004&vSubdivID=286
