road	N108
km	14.635
type	Box Culvert
lrpName	LRP014e
name	LEICHA BOX CULVERT
length	3
condition	A
structureNr	101760
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	14.635
width	10.3
constructionYear	1985
spans	1
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.159444444444443
lon	92.17672222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101760&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101760&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101760&vRoadID=8&vSurveyYear=2004&vSubdivID=286
