road	N108
km	12.68
type	RCC Girder Bridge
lrpName	LRP012g
name	Majher Para Bridge-3
length	14.1
condition	C
structureNr	121531
est cost	0.136
roadName	Keranirhat-Bandarban Road
chainage	12.68
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.1436108 
lon	92.1765827 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121531&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121531&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121531&vRoadID=8&vSurveyYear=2013&vSubdivID=286
