road	N108
km	12.605
type	RCC Girder Bridge
lrpName	LRP012f
name	Majherpara Bridge-2
length	7.8
condition	B
structureNr	121530
est cost	0.1
roadName	Keranirhat-Bandarban Road
chainage	12.605
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.1435552 
lon	92.1765271 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121530&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121530&vRoadID=8&vSurveyYear=2013&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121530&vRoadID=8&vSurveyYear=2013&vSubdivID=286
