road	N108
km	13
type	Box Culvert
lrpName	LRP012j
name	MAZAR PARA-RASTER
length	12.6
condition	A
structureNr	101735
est cost	0
roadName	Keranirhat-Bandarban Road
chainage	13
width	7.2
constructionYear	1988
spans	3
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-2
lat	22.146194444444443
lon	92.17777777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101735&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101735&vRoadID=8&vSurveyYear=2004&vSubdivID=286
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101735&vRoadID=8&vSurveyYear=2004&vSubdivID=286
