road	Z1032
km	4.994
type	Box Culvert
lrpName	LRP004f
name	UTTOR KHUMA
length	1.5
condition	A
structureNr	106790
est cost	0
roadName	Chhagalnaiya-Muhuriganj Road
chainage	4.994
width	7.3
constructionYear	2001
spans	1
zone	Comilla
circle	Noakhali
division	Feni
sub-division	Feni-2
lat	22.99563888888889
lon	91.51780555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106790&vRoadID=521&vSurveyYear=2004&vSubdivID=546
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106790&vRoadID=521&vSurveyYear=2004&vSubdivID=546
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106790&vRoadID=521&vSurveyYear=2004&vSubdivID=546
