road	N207
km	0.471
type	RCC Bridge
lrpName	LRPSb
name	Mirpur RCC Bridge
length	22.29
condition	C
structureNr	100019
est cost	6.87
roadName	Mirpur-Srimongal-Moulvibazar-Sherpur Road
chainage	0.471
width	8.65
constructionYear	1978
spans	3
zone	Sylhet
circle	Moulavi Bazar
division	Habiganj
sub-division	Shaistagonj
lat	24.287750000000003
lon	91.51372222222223
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100019&vRoadID=15&vSurveyYear=2004&vSubdivID=552
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100019&vRoadID=15&vSurveyYear=2004&vSubdivID=552
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100019&vRoadID=15&vSurveyYear=2004&vSubdivID=552
