road	R172
km	6.532
type	Box Culvert
lrpName	LRP006d
name	CHUARPARI
length	17
condition	A
structureNr	114583
est cost	0
roadName	Chokoria-Baderkhali Road
chainage	6.532
width	10
constructionYear	2004
spans	1
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Chakoria
lat	21.751527777777778
lon	92.01986111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114583&vRoadID=88&vSurveyYear=2004&vSubdivID=284
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114583&vRoadID=88&vSurveyYear=2004&vSubdivID=284
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114583&vRoadID=88&vSurveyYear=2004&vSubdivID=284
