road	Z7405
km	9.821
type	Box Culvert
lrpName	LRP009d
name	.
length	1.7
condition	C
structureNr	108647
est cost	0.14
roadName	Shekhpara-Shailkupa-Langalbandh Road
chainage	9.821
width	4.25
constructionYear	1992
spans	1
zone	Khulna
circle	Jessore
division	Jhenaidah
sub-division	Jhenaidah
lat	23.69527777777778
lon	89.23444444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108647&vRoadID=742&vSurveyYear=2004&vSubdivID=326
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108647&vRoadID=742&vSurveyYear=2004&vSubdivID=326
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108647&vRoadID=742&vSurveyYear=2004&vSubdivID=326
