road	Z5024
km	0.28
type	Slab Culvert
lrpName	LRPSb
name	.
length	6.6
condition	A
structureNr	115411
est cost	0
roadName	Modhupur-Shampur Road
chainage	0.28
width	5.5
constructionYear	1994
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-1
lat	25.6875
lon	89.07891666666666
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115411&vRoadID=599&vSurveyYear=2006&vSubdivID=287
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115411&vRoadID=599&vSurveyYear=2006&vSubdivID=287
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115411&vRoadID=599&vSurveyYear=2006&vSubdivID=287
