road	Z1133
km	0.93
type	RCC Girder Bridge
lrpName	LRPSf
name	Joarkhali Bridge
length	9.6
condition	C
structureNr	120521
est cost	0.048
roadName	Whykhong-Shaplapur Road
chainage	0.93
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Cox's Bazar
sub-division	Cox's Bazar - 2
lat	21.1153056 
lon	92.1900274 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=120521&vRoadID=345&vSurveyYear=2013&vSubdivID=863
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=120521&vRoadID=345&vSurveyYear=2013&vSubdivID=863
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=120521&vRoadID=345&vSurveyYear=2013&vSubdivID=863
