road	R546
km	0.059
type	Steel Beam & RCC Slab
lrpName	LRPSa
name	Natun Shahpur Bridge
length	14.05
condition	C
structureNr	119717
est cost	140
roadName	Railgarte-Shantahar Road
chainage	0.059
width	
constructionYear	
spans	
zone	Rangpur
circle	Bogra
division	Bogra
sub-division	Bogra
lat	24.8066944 
lon	88.978666 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=119717&vRoadID=125&vSurveyYear=2013&vSubdivID=291
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=119717&vRoadID=125&vSurveyYear=2013&vSubdivID=291
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=119717&vRoadID=125&vSurveyYear=2013&vSubdivID=291
