road	R312
km	0.681
type	Box Culvert
lrpName	LRPSc
name	HOLDOBA BOX CUL
length	2.7
condition	B
structureNr	101988
est cost	0.3
roadName	Rajendrapur Chourasta-Kapasia-Toke-Motkhola Road
chainage	0.681
width	12.55
constructionYear	1990
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Joydepur-1
lat	24.098333333333333
lon	90.40766666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=101988&vRoadID=109&vSurveyYear=2004&vSubdivID=513
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=101988&vRoadID=109&vSurveyYear=2004&vSubdivID=513
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=101988&vRoadID=109&vSurveyYear=2004&vSubdivID=513
