road	R312
km	20.137
type	RCC Girder Bridge
lrpName	LRP019d
name	GAIMDHALI BRIDGE
length	30.2
condition	C
structureNr	102021
est cost	46.86
roadName	Rajendrapur Chourasta-Kapasia-Toke-Motkhola Road
chainage	20.137
width	6.65
constructionYear	1974
spans	5
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Joydepur-1
lat	24.13125
lon	90.57297222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102021&vRoadID=109&vSurveyYear=2004&vSubdivID=513
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102021&vRoadID=109&vSurveyYear=2004&vSubdivID=513
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102021&vRoadID=109&vSurveyYear=2004&vSubdivID=513
