road	Z1061
km	0.921
type	Baily with Steel Deck
lrpName	LRPSd
name	Langalbandh bazar Bridge
length	24.2
condition	D
structureNr	121848
est cost	250
roadName	Madanganj (Minarbari)-Lalgalbandh Road
chainage	0.921
width	
constructionYear	
spans	
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Vitikandi
lat	23.6527222 
lon	90.5654722 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121848&vRoadID=225&vSurveyYear=2013&vSubdivID=521
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121848&vRoadID=225&vSurveyYear=2013&vSubdivID=521
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121848&vRoadID=225&vSurveyYear=2013&vSubdivID=521
