road	Z1022
km	6.31
type	Slab Culvert
lrpName	LRP007f
name	RAMMOHOH BAZAR SLAB CULVERT
length	1
condition	A
structureNr	106137
est cost	0
roadName	Jhalam-Chandina Road
chainage	6.31
width	5.66
constructionYear	1968
spans	1
zone	Comilla
circle	Comilla
division	Comilla
sub-division	Comilla
lat	23.42763888888889
lon	91.00394444444444
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=106137&vRoadID=478&vSurveyYear=2004&vSubdivID=543
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=106137&vRoadID=478&vSurveyYear=2004&vSubdivID=543
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=106137&vRoadID=478&vSurveyYear=2004&vSubdivID=543
