road	Z5509
km	15.62
type	Slab Culvert
lrpName	LRP017a
name	.
length	2
condition	A
structureNr	115358
est cost	0
roadName	Hili-Shalaipur-Kalai Road
chainage	15.62
width	6
constructionYear	1991
spans	1
zone	Rangpur
circle	Bogra
division	Joypurhat
sub-division	Joypurhat
lat	25.182222222222222
lon	89.12455555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115358&vRoadID=657&vSurveyYear=2006&vSubdivID=589
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115358&vRoadID=657&vSurveyYear=2006&vSubdivID=589
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115358&vRoadID=657&vSurveyYear=2006&vSubdivID=589
