road	Z5623
km	0.84
type	Box Culvert
lrpName	LRPSb
name	.
length	3
condition	A
structureNr	115094
est cost	0
roadName	Ulipur-Bojra-Chillmari Road
chainage	0.84
width	8.4
constructionYear	1999
spans	1
zone	Rangpur
circle	Rangpur
division	Kurigram
sub-division	Kurigram - 1
lat	25.645416666666666
lon	89.61208333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115094&vRoadID=623&vSurveyYear=2006&vSubdivID=289
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115094&vRoadID=623&vSurveyYear=2006&vSubdivID=289
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115094&vRoadID=623&vSurveyYear=2006&vSubdivID=289
