road	N604
km	0.87
type	Slab Culvert
lrpName	LRPSb
name	.
length	2.05
condition	A
structureNr	110148
est cost	0
roadName	Pabna Town Old Section (Bus Stand-Ghospara)
chainage	0.87
width	12.1
constructionYear	1991
spans	1
zone	Rajshahi
circle	Pabna
division	Pabna
sub-division	Pabna-2
lat	24.00638888888889
lon	89.25027777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=110148&vRoadID=49&vSurveyYear=2004&vSubdivID=310
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=110148&vRoadID=49&vSurveyYear=2004&vSubdivID=310
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=110148&vRoadID=49&vSurveyYear=2004&vSubdivID=310
