road	N106
km	49.593
type	Arch Masonry
lrpName	LRP051e
name	GAGRA BRIDGE
length	11
condition	A
structureNr	108216
est cost	0
roadName	Chittagong-Hathazari-Rangamati Road
chainage	49.593
width	6.3
constructionYear	1971
spans	3
zone	Chittagong
circle	Rangamati
division	Rangamati
sub-division	Rangamati-1
lat	22.61927777777778
lon	92.10316666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108216&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108216&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108216&vRoadID=6&vSurveyYear=2004&vSubdivID=570
