road	N106
km	0.642
type	Slab Culvert
lrpName	LRPSb
name	TANARI BOTTOLA CULVERT
length	3
condition	A
structureNr	114922
est cost	0
roadName	Chittagong-Hathazari-Rangamati Road
chainage	0.642
width	7.7
constructionYear	1987
spans	1
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.399
lon	91.81980555555555
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=114922&vRoadID=6&vSurveyYear=2004&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=114922&vRoadID=6&vSurveyYear=2004&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=114922&vRoadID=6&vSurveyYear=2004&vSubdivID=270
