road	N106
km	23.096
type	Steel Beam & RCC Slab
lrpName	LRP024e
name	BEROLIA BRIDGE
length	22.4
condition	C
structureNr	108004
est cost	6.335
roadName	Chittagong-Hathazari-Rangamati Road
chainage	23.096
width	4.1
constructionYear	1964
spans	3
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.53425
lon	91.90191666666668
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108004&vRoadID=6&vSurveyYear=2004&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108004&vRoadID=6&vSurveyYear=2004&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108004&vRoadID=6&vSurveyYear=2004&vSubdivID=270
