road	N106
km	51.297
type	Box Culvert
lrpName	LRP053f
name	MOSHIS PARA CULVERT
length	9.4
condition	A
structureNr	108092
est cost	0
roadName	Chittagong-Hathazari-Rangamati Road
chainage	51.297
width	10.1
constructionYear	1998
spans	2
zone	Chittagong
circle	Rangamati
division	Rangamati
sub-division	Rangamati-1
lat	22.6295
lon	92.11283333333333
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=108092&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=108092&vRoadID=6&vSurveyYear=2004&vSubdivID=570
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=108092&vRoadID=6&vSurveyYear=2004&vSubdivID=570
