road	N106
km	23.096
type	Steel Beam & RCC Slab
lrpName	LRP024e
name	Beroli Bridge
length	24.68
condition	C
structureNr	121113
est cost	1.754
roadName	Chittagong-Hathazari-Rangamati Road
chainage	23.096
width	
constructionYear	
spans	
zone	Chittagong
circle	Chittagong
division	Chittagong
sub-division	Fatikchari
lat	22.53346896099291
lon	91.89912005106383
estimated Location	road_interpolate
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121113&vRoadID=6&vSurveyYear=2013&vSubdivID=270
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121113&vRoadID=6&vSurveyYear=2013&vSubdivID=270
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121113&vRoadID=6&vSurveyYear=2013&vSubdivID=270
