road	Z3025
km	5.184
type	Box Culvert
lrpName	LRP006a
name	Pabur moddo Box Culvert
length	3.08
condition	A
structureNr	100004
est cost	0
roadName	Kapashia-Pabur-Fuldi-Kaliganj Road
chainage	5.184
width	8.05
constructionYear	2000
spans	1
zone	Dhaka
circle	Dhaka
division	Gazipur
sub-division	Tongi
lat	24.077194444444444
lon	90.53663888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=100004&vRoadID=193&vSurveyYear=2004&vSubdivID=514
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=100004&vRoadID=193&vSurveyYear=2004&vSubdivID=514
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=100004&vRoadID=193&vSurveyYear=2004&vSubdivID=514
