road	Z3033
km	2.87
type	Slab Culvert
lrpName	LRP002e
name	PALASHPUR
length	1
condition	A
structureNr	104799
est cost	0
roadName	Mymensingh-Gafargaon-Toke Road
chainage	2.87
width	5.66
constructionYear	1972
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Mymensingh
lat	24.743111111111112
lon	90.42283333333334
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104799&vRoadID=243&vSurveyYear=2004&vSubdivID=530
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104799&vRoadID=243&vSurveyYear=2004&vSubdivID=530
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104799&vRoadID=243&vSurveyYear=2004&vSubdivID=530
