road	Z3033
km	0.701
type	Arch Masonry
lrpName	LRPSc
name	JOBLI GHAT
length	1.8
condition	D
structureNr	104793
est cost	3
roadName	Mymensingh-Gafargaon-Toke Road
chainage	0.701
width	5.66
constructionYear	1958
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Mymensingh
lat	24.759027777777778
lon	90.41094444444445
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104793&vRoadID=243&vSurveyYear=2004&vSubdivID=530
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104793&vRoadID=243&vSurveyYear=2004&vSubdivID=530
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104793&vRoadID=243&vSurveyYear=2004&vSubdivID=530
