road	Z3033
km	67.064
type	Slab Culvert
lrpName	LRP068h
name	TANGOBOR
length	0.6
condition	A
structureNr	109697
est cost	0
roadName	Mymensingh-Gafargaon-Toke Road
chainage	67.064
width	5.66
constructionYear	1999
spans	1
zone	Mymensingh
circle	Mymensingh
division	Mymensingh
sub-division	Bhaluka
lat	24.276249999999997
lon	90.57377777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109697&vRoadID=243&vSurveyYear=2004&vSubdivID=529
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109697&vRoadID=243&vSurveyYear=2004&vSubdivID=529
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109697&vRoadID=243&vSurveyYear=2004&vSubdivID=529
