road	R504
km	24.773
type	RCC Girder Bridge
lrpName	LRP024d
name	MITRA RCC GIDER BRIDGE
length	7.6
condition	C
structureNr	104918
est cost	4.85
roadName	Hemayetpur-Singair-Manikganj Road
chainage	24.773
width	3.9
constructionYear	1972
spans	1
zone	Dhaka
circle	Dhaka
division	Manikganj
sub-division	Manikganj
lat	23.817694444444445
lon	90.04288888888888
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104918&vRoadID=121&vSurveyYear=2004&vSubdivID=515
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104918&vRoadID=121&vSurveyYear=2004&vSubdivID=515
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104918&vRoadID=121&vSurveyYear=2004&vSubdivID=515
