road	R113
km	7.974
type	Slab Culvert
lrpName	LRP007b
name	BAGHBARI CULVERT
length	3.6
condition	B
structureNr	102293
est cost	0.59
roadName	Madanpur-Madanganj-Sayedpur Road
chainage	7.974
width	5.5
constructionYear	1965
spans	1
zone	Dhaka
circle	Dhaka
division	Narayanganj
sub-division	Narayanganj-1
lat	23.622777777777777
lon	90.52297222222222
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=102293&vRoadID=70&vSurveyYear=2004&vSubdivID=520
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=102293&vRoadID=70&vSurveyYear=2004&vSubdivID=520
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=102293&vRoadID=70&vSurveyYear=2004&vSubdivID=520
