road	N509
km	3.885
type	RCC Girder Bridge
lrpName	LRP003b
name	.
length	9
condition	D
structureNr	109482
est cost	4.5
roadName	Barabari-Lalmonirhat-Burimary Road
chainage	3.885
width	4.2
constructionYear	1981
spans	1
zone	Rangpur
circle	Rangpur
division	Lalmonirhat
sub-division	Lalmonirhat
lat	25.870555555555555
lon	89.47361111111111
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109482&vRoadID=37&vSurveyYear=2004&vSubdivID=290
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109482&vRoadID=37&vSurveyYear=2004&vSubdivID=290
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109482&vRoadID=37&vSurveyYear=2004&vSubdivID=290
