road	R161
km	43.476
type	Baily with Steel Deck
lrpName	LRP043f
name	Golachipa Bridge-3
length	18.34
condition	A
structureNr	121658
est cost	0.199
roadName	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
chainage	43.476
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.2985274 
lon	92.1573333 
estimated Location	road_chainage
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121658&vRoadID=82&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121658&vRoadID=82&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121658&vRoadID=82&vSurveyYear=2013&vSubdivID=285
