road	R161
km	42.87
type	Baily with Steel Deck
lrpName	LRP043d
name	Golachipa Bridge-2
length	12.31
condition	A
structureNr	121655
est cost	0.01
roadName	Rangamati (Ghagra)-Chandragona-Bangalhalia-Bandarban Road
chainage	42.87
width	
constructionYear	
spans	
zone	Chittagong
circle	Rangamati
division	Bandarban
sub-division	Bandarban-1
lat	22.31325 
lon	92.1513056 
estimated Location	road_precise
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=121655&vRoadID=82&vSurveyYear=2013&vSubdivID=285
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=121655&vRoadID=82&vSurveyYear=2013&vSubdivID=285
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=121655&vRoadID=82&vSurveyYear=2013&vSubdivID=285
