road	Z5617
km	0.98
type	Box Culvert
lrpName	LRPSc
name	.
length	3
condition	A
structureNr	115149
est cost	0
roadName	Nageswari-Newasi-Kharibari-Fulbari Road
chainage	0.98
width	8.2
constructionYear	2001
spans	1
zone	Rangpur
circle	Rangpur
division	Kurigram
sub-division	Kurigram - 1
lat	25.96225
lon	89.68477777777778
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=115149&vRoadID=624&vSurveyYear=2006&vSubdivID=289
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=115149&vRoadID=624&vSurveyYear=2006&vSubdivID=289
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=115149&vRoadID=624&vSurveyYear=2006&vSubdivID=289
