road	N708
km	0.337
type	Box Culvert
lrpName	LRPSa
name	.
length	1.5
condition	A
structureNr	107983
est cost	0
roadName	Jessore Town Old Section alternate Road (Palbari-Board office-Monihar)
chainage	0.337
width	7.3
constructionYear	1990
spans	1
zone	Khulna
circle	Jessore
division	Jessore
sub-division	Jessore-2
lat	23.18
lon	89.19416666666667
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=107983&vRoadID=57&vSurveyYear=2004&vSubdivID=324
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=107983&vRoadID=57&vSurveyYear=2004&vSubdivID=324
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=107983&vRoadID=57&vSurveyYear=2004&vSubdivID=324
