road	R282
km	2.409
type	Slab Culvert
lrpName	LRP002e
name	dhamay
length	1
condition	A
structureNr	104471
est cost	0
roadName	Juri-Lathidila Road
chainage	2.409
width	8.66
constructionYear	1975
spans	1
zone	Sylhet
circle	Moulavi Bazar
division	Moulavi Bazar
sub-division	Kulaura
lat	24.588277777777776
lon	92.13272222222221
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=104471&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=104471&vRoadID=103&vSurveyYear=2004&vSubdivID=553
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=104471&vRoadID=103&vSurveyYear=2004&vSubdivID=553
